Demande Devis,Interest Level,Meeting Notes,Decision Level,Connait Marque,converted
False,Tiède,"Projet reporté à une date indéterminée, pas de budget alloué actuellement",Responsable achats,True,0
False,Froid,"Marché en pause, gel des investissements jusqu'à l'an prochain",Promoteur immobilier,True,0
False,Tiède,"Intéressé mais trouve nos prix trop élevés, compare avec Knauf",Responsable achats,True,1
False,Tiède,"Pas sensible à nos arguments, resté sur ses positions tout au long de l'entretien",Responsable achats,True,1
False,Froid,"Avis défavorable du bureau d'études, difficile de convaincre",Promoteur immobilier,False,0
False,Froid,Trop petit volume pour justifier un changement de fournisseur selon lui,Promoteur immobilier,True,0
False,Froid,"Pas de projet signé, en phase de prospection pour lui-même",Conducteur de travaux,False,0
True,Chaud,"A demandé un rendez-vous de suivi dans 1 mois, pas de décision avant",Promoteur immobilier,False,1
False,Tiède,"Budget annuel disponible, cherche à référencer un nouveau fournisseur rapidement",Architecte,True,1
True,Chaud,"Veut un devis rapide pour un projet de un lot complet, budget disponible",Conducteur de travaux,True,1
True,Chaud,"Demande urgente de grande envergure, budget disponible, délai serré mais faisable",Conducteur de travaux,True,1
False,Froid,"Pas de projet concret à court terme, juste une veille marché",Conducteur de travaux,False,0
False,Tiède,"Intéressé mais attend validation de son responsable, pas de date fixée",Conducteur de travaux,False,0
False,Froid,"Réunion imposée par sa hiérarchie, pas convaincu lui-même",Responsable achats,False,0
True,Chaud,"Chantier imminent, a demandé les fiches techniques, budget débloqué",Chef d'agence négoce,False,1
False,Froid,"Avis défavorable du bureau d'études, difficile de convaincre",Conducteur de travaux,False,0
False,Tiède,"Veut comparer avec 2 autres fournisseurs avant de décider, à relancer dans 6 semaines",Conducteur de travaux,False,0
True,Tiède,"Marché conclu avec le client final, besoin de livrer en 2 semaines",Architecte,True,1
False,Tiède,"Besoin urgent avant fin mars, veut avancer rapidement, pas de concurrent mentionné",Architecte,True,0
False,Froid,"Prix trop élevé selon lui, travaille déjà avec un concurrent satisfaisant",Architecte,False,0
False,Froid,"N'a pas pris de notes, pas de questions, clairement pas intéressé",Responsable achats,True,0
True,Chaud,"A déjà travaillé avec nos produits, satisfait, nouvelle commande à venir",Conducteur de travaux,True,1
False,Tiède,"Processus d'achat centralisé, décision pas entre ses mains",Chef d'agence négoce,False,0
False,Froid,"Ouvert à travailler avec nous sur un prochain chantier, pas d'urgence immédiate",Architecte,False,0
False,Froid,"Test avec un concurrent en cours, reviendra vers nous si insatisfait",Architecte,True,0
False,Tiède,"Appel entrant - il nous a contacté directement, projet en phase de lancement",Conducteur de travaux,False,1
False,Froid,"Pas de projet concret à court terme, juste une veille marché",Conducteur de travaux,True,0
False,Tiède,"Knauf déjà présent sur ses chantiers, veut un avantage clair pour switcher",Promoteur immobilier,False,1
False,Froid,"Pas de budget disponible cette année, peut-être l'année prochaine",Chef d'agence négoce,False,0
False,Tiède,"A déjà travaillé avec nos produits, satisfait, nouvelle commande à venir",Promoteur immobilier,False,1
False,Froid,"Réticent au changement, processus interne trop lourd selon lui",Chef d'agence négoce,True,0
False,Tiède,"Chantier démarré en juin, veut sécuriser les approvisionnements maintenant",Promoteur immobilier,False,1
False,Froid,"Réunion productive, a partagé les specs du projet mais rien de signé",Architecte,False,0
True,Chaud,"Satisfait de son fournisseur actuel, pas de raison évidente de changer",Promoteur immobilier,True,1
True,Chaud,"Besoin urgent avant fin avril, veut avancer rapidement, pas de concurrent mentionné",Chef d'agence négoce,False,1
False,Froid,"Hésitant sur la qualité, a mentionné un problème passé avec un produit similaire",Promoteur immobilier,False,0
True,Chaud,"Projet signé avec le maître d'ouvrage, prescrit nos produits dans les plans",Conducteur de travaux,False,1
False,Chaud,"Chantier de 200 logements en cours, cherche un fournisseur fiable rapidement",Conducteur de travaux,False,0
False,Froid,"Trouve notre offre trop chère, Rockwool proposé 15% moins cher",Responsable achats,False,0
False,Tiède,"A comparé avec Saint-Gobain, leur offre est plus compétitive",Promoteur immobilier,False,0
False,Tiède,"Partenaire potentiel, budget alloué, premier achat prévu ce trimestre",Promoteur immobilier,True,1
False,Chaud,"A posé des questions techniques, compare plusieurs fournisseurs, pas pressé",Chef d'agence négoce,False,1
True,Chaud,"Chantier démarré en juin, veut sécuriser les approvisionnements maintenant",Chef d'agence négoce,False,1
True,Tiède,"Intéressé mais trouve nos prix trop élevés, compare avec Knauf",Responsable achats,True,1
True,Chaud,"Projet confirmé, attend notre proposition commerciale, délai fin du mois",Conducteur de travaux,False,1
True,Tiède,"Projet 500m² confirmé, budget débloqué, veut démarrer rapidement",Architecte,False,1
True,Chaud,"Client actif, référencement en cours, commande test validée",Promoteur immobilier,True,1
True,Chaud,"Pas de projet à court terme, juste en phase d'information",Responsable achats,True,0
True,Tiède,"Budget non validé par la direction, projet gelé indéfiniment",Responsable achats,False,0
False,Froid,"A demandé des échantillons, projet probable mais délai incertain",Conducteur de travaux,True,0
False,Froid,"Budget limité, cherche une alternative moins chère, à voir si on peut s'aligner",Architecte,False,0
False,Chaud,"Budget annuel disponible, cherche à référencer un nouveau fournisseur rapidement",Promoteur immobilier,True,1
False,Froid,"Skeptique sur la performance, veut voir des résultats de tests d'abord",Chef d'agence négoce,True,0
True,Chaud,"Veut diversifier ses fournisseurs, budget alloué, premier essai en vue",Promoteur immobilier,False,1
True,Tiède,"Bon contact mais la marge est serrée, veut une remise supplémentaire",Conducteur de travaux,True,1
False,Tiède,"Bon feeling en réunion, mais projet encore au stade de l'étude de faisabilité",Promoteur immobilier,False,0
True,Tiède,A demandé une proposition commerciale pour présenter en interne,Chef d'agence négoce,True,0
False,Tiède,"A mentionné un projet pour le second semestre, pas de budget encore validé",Chef d'agence négoce,True,1
True,Tiède,"Knauf déjà présent sur ses chantiers, veut un avantage clair pour switcher",Chef d'agence négoce,False,0
False,Tiède,"Volume trop faible pour négocier, reste avec son fournisseur habituel",Chef d'agence négoce,True,0
False,Tiède,"Knauf déjà présent sur ses chantiers, veut un avantage clair pour switcher",Promoteur immobilier,False,0
False,Tiède,"Knauf déjà présent sur ses chantiers, veut un avantage clair pour switcher",Chef d'agence négoce,True,1
False,Tiède,"Budget annuel disponible, cherche à référencer un nouveau fournisseur rapidement",Promoteur immobilier,True,1
True,Tiède,"Chantier annulé, plus de besoin pour le moment",Chef d'agence négoce,True,0
False,Chaud,"Projet signé avec le maître d'ouvrage, prescrit nos produits dans les plans",Conducteur de travaux,True,0
False,Tiède,"Budget non validé par la direction, projet gelé indéfiniment",Architecte,False,0
True,Tiède,"A évoqué Saint-Gobain comme référence, veut des arguments différenciants",Responsable achats,False,1
False,Tiède,"Intéressé mais trouve nos prix trop élevés, compare avec Knauf",Chef d'agence négoce,False,0
False,Tiède,"A demandé un rendez-vous de suivi dans 1 mois, pas de décision avant",Responsable achats,False,1
False,Tiède,"Besoin de grande envergure pour chantier en septembre, demande de devis immédiat",Promoteur immobilier,True,1
False,Tiède,"Test avec un concurrent en cours, reviendra vers nous si insatisfait",Responsable achats,False,0
False,Froid,"Pas de projet à court terme, juste en phase d'information",Conducteur de travaux,False,0
False,Chaud,"Premier chantier avec nous, mais très motivé, budget sécurisé",Conducteur de travaux,True,1
False,Tiède,"Projet confirmé pour Q1, budget validé en interne, très intéressé par nos produits",Chef d'agence négoce,False,0
True,Tiède,"Pas de budget disponible cette année, peut-être l'année prochaine",Chef d'agence négoce,False,0
True,Chaud,"A visité notre showroom, commande test envisagée dès la semaine prochaine",Chef d'agence négoce,True,1
False,Froid,"Pas de budget disponible cette année, peut-être l'année prochaine",Responsable achats,False,0
True,Chaud,"A mentionné un projet pour le second semestre, pas de budget encore validé",Architecte,True,1
True,Chaud,"Enthousiaste, a posé des questions très précises sur les délais de livraison",Architecte,True,1
True,Tiède,"Nouveau chantier démarré, besoin urgent de matériaux, budget OK",Promoteur immobilier,False,1
False,Froid,"Pas de budget prévu cette année, à relancer en Q3",Conducteur de travaux,True,0
False,Tiède,Intérêt réel mais cycle budgétaire annuel - décision prévue en septembre,Architecte,False,0
False,Froid,"Peu réceptif, réunion courte, pas de suite prévue",Conducteur de travaux,False,0
False,Chaud,"Skeptique sur la performance, veut voir des résultats de tests d'abord",Conducteur de travaux,False,0
False,Froid,"Sensible au service, moins au prix, à convaincre sur notre SAV",Chef d'agence négoce,False,0
True,Chaud,"A mentionné un projet pour le second semestre, pas de budget encore validé",Promoteur immobilier,False,1
False,Froid,"Travaille déjà avec Knauf, fidèle mais ouvert à tester sur un petit chantier",Promoteur immobilier,True,0
False,Tiède,"Intéressé mais trouve nos prix trop élevés, compare avec Knauf",Promoteur immobilier,True,0
True,Chaud,"Chantier prévu avril, budget ok, compare encore avec Saint-Gobain",Conducteur de travaux,False,1
True,Tiède,"Projet en stand-by, décision reportée, pas d'urgence",Architecte,False,0
False,Froid,"Concurrent bien installé avec un contrat cadre, difficile de rentrer",Architecte,True,0
True,Chaud,"Urgence réelle, son fournisseur habituel en rupture, cherche une solution immédiate",Responsable achats,False,1
False,Tiède,"Satisfait de son fournisseur actuel, pas de raison évidente de changer",Promoteur immobilier,True,1
True,Chaud,"Nouveau chantier démarré, besoin urgent de matériaux, budget OK",Chef d'agence négoce,True,1
True,Chaud,"Urgence réelle, son fournisseur habituel en rupture, cherche une solution immédiate",Responsable achats,False,0
False,Froid,"Pas sensible à nos arguments, resté sur ses positions tout au long de l'entretien",Architecte,True,0
True,Chaud,"Projet à confirmer, dépend d'un appel d'offres en cours",Conducteur de travaux,True,1
True,Tiède,"Sous contrat cadre avec un concurrent, difficile de rentrer à court terme",Chef d'agence négoce,True,1
False,Froid,"Convoqué par son N+1, pas décideur, ne peut rien valider",Promoteur immobilier,False,0
True,Chaud,"A déjà travaillé avec nos produits, satisfait, nouvelle commande à venir",Chef d'agence négoce,True,1
False,Froid,"Premier chantier avec nous, mais très motivé, budget sécurisé",Architecte,True,1
True,Tiède,"Veut diversifier ses fournisseurs, budget alloué, premier essai en vue",Architecte,False,1
False,Tiède,"Veut comparer avec 2 autres fournisseurs avant de décider, à relancer dans 6 semaines",Responsable achats,True,0
True,Chaud,"Avis défavorable du bureau d'études, difficile de convaincre",Responsable achats,False,0
False,Chaud,"Projet confirmé pour Q1, budget validé en interne, très intéressé par nos produits",Chef d'agence négoce,True,1
False,Tiède,Intérêt réel mais cycle budgétaire annuel - décision prévue en septembre,Responsable achats,False,0
False,Chaud,"Projet résidentiel 80 unités, budget confirmé, veut nos conditions tarifaires",Responsable achats,True,1
False,Froid,"Convoqué par son N+1, pas décideur, ne peut rien valider",Conducteur de travaux,True,0
False,Tiède,"Réticent au changement, processus interne trop lourd selon lui",Chef d'agence négoce,False,0
True,Chaud,"Projet en attente de validation du maître d'ouvrage, nous recontactera",Conducteur de travaux,True,1
False,Froid,"Pas de budget disponible cette année, peut-être l'année prochaine",Conducteur de travaux,True,0
True,Tiède,"Bon contact mais la marge est serrée, veut une remise supplémentaire",Responsable achats,False,1
False,Tiède,"Projet reporté à une date indéterminée, pas de budget alloué actuellement",Conducteur de travaux,False,0
True,Chaud,"Projet confirmé pour Q1, budget validé en interne, très intéressé par nos produits",Responsable achats,True,1
False,Froid,"Budget non validé par la direction, projet gelé indéfiniment",Architecte,False,0
True,Chaud,"Partenaire potentiel, budget alloué, premier achat prévu ce trimestre",Conducteur de travaux,False,1
False,Tiède,"Compare nos prix avec Isover, attend notre contre-proposition",Architecte,False,1
True,Tiède,"Chef de projet enthousiaste, demande un chiffrage rapide pour validation",Promoteur immobilier,True,1
False,Froid,"Budget non validé par la direction, projet gelé indéfiniment",Promoteur immobilier,True,0
True,Chaud,"Budget annuel disponible, cherche à référencer un nouveau fournisseur rapidement",Conducteur de travaux,False,1
False,Froid,"Bon contact mais la marge est serrée, veut une remise supplémentaire",Architecte,True,0
True,Tiède,"Responsable très impliqué, veut avancer vite, budget confirmed",Conducteur de travaux,False,1
True,Chaud,"Budget annuel disponible, cherche à référencer un nouveau fournisseur rapidement",Promoteur immobilier,True,1
False,Tiède,"Knauf déjà présent sur ses chantiers, veut un avantage clair pour switcher",Promoteur immobilier,False,0
True,Chaud,"Sous contrat cadre avec un concurrent, difficile de rentrer à court terme",Chef d'agence négoce,False,1
False,Chaud,"Chantier prévu avril, budget ok, compare encore avec Saint-Gobain",Promoteur immobilier,True,1
True,Tiède,"Compare nos prix avec Isover, attend notre contre-proposition",Promoteur immobilier,True,0
True,Tiède,"Intéressé mais trouve nos prix trop élevés, compare avec Knauf",Promoteur immobilier,True,0
False,Tiède,"Nouveau chantier démarré, besoin urgent de matériaux, budget OK",Responsable achats,True,1
False,Tiède,"Ouvert à travailler avec nous sur un prochain chantier, pas d'urgence immédiate",Architecte,True,0
False,Froid,"Bon contact mais la marge est serrée, veut une remise supplémentaire",Conducteur de travaux,True,1
False,Froid,"Pas sensible à nos arguments, resté sur ses positions tout au long de l'entretien",Conducteur de travaux,True,0
True,Chaud,"Appel entrant - il nous a contacté directement, projet en phase de lancement",Conducteur de travaux,False,0
False,Froid,Trop petit volume pour justifier un changement de fournisseur selon lui,Conducteur de travaux,False,0
True,Chaud,"Très intéressé par nos produits, demande un devis pour un chantier de un lot complet",Promoteur immobilier,False,1
False,Tiède,"Knauf déjà présent sur ses chantiers, veut un avantage clair pour switcher",Conducteur de travaux,True,0
False,Froid,"Convoqué par son N+1, pas décideur, ne peut rien valider",Conducteur de travaux,False,1
False,Tiède,"Bon contact mais la marge est serrée, veut une remise supplémentaire",Promoteur immobilier,True,1
False,Tiède,"A demandé des échantillons, projet probable mais délai incertain",Architecte,True,0
True,Chaud,"Volume important prévu sur l'année, demande tarifs et conditions",Responsable achats,False,1
False,Froid,"A raccourci la réunion, peu d'engagement, pas de suite annoncée",Chef d'agence négoce,True,1
False,Chaud,"Réunion très engagée, a pris des notes, veut une offre ferme cette semaine",Conducteur de travaux,False,0
True,Chaud,"Sous contrat cadre avec un concurrent, difficile de rentrer à court terme",Promoteur immobilier,True,0
False,Tiède,"Chantier prévu avril, budget ok, compare encore avec Saint-Gobain",Chef d'agence négoce,True,1
False,Froid,"Projet à confirmer, dépend d'un appel d'offres en cours",Conducteur de travaux,True,0
False,Tiède,"Bon feeling en réunion, mais projet encore au stade de l'étude de faisabilité",Chef d'agence négoce,False,0
True,Chaud,"Chantier imminent, a demandé les fiches techniques, budget débloqué",Architecte,False,1
False,Froid,"Concurrent bien installé avec un contrat cadre, difficile de rentrer",Promoteur immobilier,False,0
False,Tiède,"Projet en attente de financement, aucune date de réalisation prévue",Architecte,False,0
False,Froid,"Prix trop élevé selon lui, travaille déjà avec un concurrent satisfaisant",Conducteur de travaux,False,1
False,Tiède,"Satisfait de son fournisseur actuel, pas motivé pour changer",Promoteur immobilier,False,0
True,Chaud,"Responsable très impliqué, veut avancer vite, budget confirmed",Promoteur immobilier,True,1
False,Tiède,"A évoqué Saint-Gobain comme référence, veut des arguments différenciants",Architecte,False,0
True,Chaud,"Besoin de taille standard pour chantier en mai, demande de devis immédiat",Responsable achats,False,1
False,Froid,"Travaille déjà avec un concurrent, fidèle mais ouvert à tester sur un petit chantier",Chef d'agence négoce,True,0
True,Chaud,"Besoin urgent avant fin mars, veut avancer rapidement, pas de concurrent mentionné",Promoteur immobilier,False,1
True,Chaud,"Nouveau chantier démarré, besoin urgent de matériaux, budget OK",Promoteur immobilier,False,1
False,Tiède,"Pas sensible à nos arguments, resté sur ses positions tout au long de l'entretien",Chef d'agence négoce,True,0
True,Chaud,"Satisfait de son fournisseur actuel, pas de raison évidente de changer",Conducteur de travaux,True,1
False,Tiède,"Travaille déjà avec Isover, fidèle mais ouvert à tester sur un petit chantier",Responsable achats,False,0
True,Chaud,"Réunion de 90 min, très impliqué, a demandé une visite chantier",Conducteur de travaux,True,1
False,Froid,"Réunion téléphonique expéditive, à peine 15 minutes, pas de signal positif",Chef d'agence négoce,False,0
True,Tiède,"A évoqué Saint-Gobain comme référence, veut des arguments différenciants",Conducteur de travaux,False,0
True,Chaud,"Besoin urgent avant fin mars, veut avancer rapidement, pas de concurrent mentionné",Responsable achats,False,1
True,Froid,"Pas sensible à nos arguments, resté sur ses positions tout au long de l'entretien",Architecte,True,0
True,Chaud,"Veut diversifier ses fournisseurs, budget alloué, premier essai en vue",Promoteur immobilier,True,1
True,Chaud,"Besoin de 1000m² pour chantier en septembre, demande de devis immédiat",Architecte,True,1
False,Froid,"Mauvaise expérience avec une marque similaire, méfiant envers le secteur",Chef d'agence négoce,False,0
False,Froid,"Veut un devis rapide pour un projet de un lot complet, budget disponible",Conducteur de travaux,False,1
False,Tiède,"Compare nos prix avec Isover, attend notre contre-proposition",Responsable achats,True,0
True,Chaud,"Réunion productive, a partagé les specs du projet mais rien de signé",Responsable achats,True,0
True,Tiède,"Chantier prévu pour septembre, budget validé, cherche le meilleur rapport qualité-prix",Chef d'agence négoce,True,1
True,Chaud,"Projet signé avec le maître d'ouvrage, prescrit nos produits dans les plans",Responsable achats,True,0
False,Tiède,"Chantier prévu avril, budget ok, compare encore avec Saint-Gobain",Architecte,True,0
False,Tiède,"Sous contrat cadre avec un concurrent, difficile de rentrer à court terme",Chef d'agence négoce,True,0
True,Chaud,"Très satisfait de la présentation, a partagé nos docs avec son associé",Conducteur de travaux,False,1
False,Tiède,"Commande test de 50 unités envisagée, veut valider la qualité avant volume",Chef d'agence négoce,True,0
True,Froid,"Intéressé mais le timing ne convient pas, reviendra peut-être plus tard",Responsable achats,True,0
True,Chaud,"Projet public validé, commande officielle attendue sous 2 semaines",Promoteur immobilier,False,1
True,Chaud,"Référencement en cours, premier chantier prévu en novembre, volume grande envergure",Conducteur de travaux,True,1
False,Tiède,"Intéressé mais attend validation de son responsable, pas de date fixée",Conducteur de travaux,True,0
True,Chaud,"Demande urgente de 200m², budget disponible, délai serré mais faisable",Chef d'agence négoce,False,1
True,Tiède,"Sous contrat cadre avec un concurrent, difficile de rentrer à court terme",Conducteur de travaux,False,1
False,Tiède,"Compare nos prix avec Isover, attend notre contre-proposition",Architecte,True,1
False,Froid,"Réunion téléphonique expéditive, à peine 15 minutes, pas de signal positif",Conducteur de travaux,True,0
False,Froid,A demandé une proposition commerciale pour présenter en interne,Conducteur de travaux,False,0
False,Froid,"Très attaché à son fournisseur actuel, pas ouvert à un changement",Responsable achats,True,1
True,Chaud,"Besoin de moyenne importance pour chantier en septembre, demande de devis immédiat",Chef d'agence négoce,False,1
False,Froid,"Hésitant sur la qualité, a mentionné un problème passé avec un produit similaire",Chef d'agence négoce,False,0
True,Tiède,"Volume important prévu sur l'année, demande tarifs et conditions",Responsable achats,False,1
True,Chaud,"Compare nos prix avec Isover, attend notre contre-proposition",Architecte,False,1
True,Chaud,"Réunion de 90 min, très impliqué, a demandé une visite chantier",Promoteur immobilier,False,1
False,Froid,"Satisfait de son fournisseur actuel, pas de raison évidente de changer",Promoteur immobilier,False,0
True,Tiède,"Bonne réunion, ouvert à une proposition, dépend du budget annuel",Responsable achats,False,0
False,Froid,"Réunion productive, a partagé les specs du projet mais rien de signé",Architecte,True,0
True,Tiède,"Intéressé mais trouve nos prix trop élevés, compare avec Rockwool",Chef d'agence négoce,False,0
True,Chaud,"Satisfait de son fournisseur actuel, pas de raison évidente de changer",Chef d'agence négoce,True,0
False,Tiède,"Travaille déjà avec Saint-Gobain, fidèle mais ouvert à tester sur un petit chantier",Promoteur immobilier,False,0
True,Tiède,"Besoin de 500m² pour chantier en mars, demande de devis immédiat",Architecte,True,1
False,Froid,"Concurrent bien installé avec un contrat cadre, difficile de rentrer",Promoteur immobilier,False,0
True,Chaud,"Chantier de 200 logements en cours, cherche un fournisseur fiable rapidement",Responsable achats,False,1
False,Froid,"Intéressé mais trouve nos prix trop élevés, compare avec Knauf",Promoteur immobilier,True,0
True,Chaud,"Réunion très engagée, a pris des notes, veut une offre ferme cette semaine",Responsable achats,False,1
False,Froid,"Convoqué par son N+1, pas décideur, ne peut rien valider",Conducteur de travaux,False,0
False,Chaud,"Besoin urgent avant fin mars, veut avancer rapidement, pas de concurrent mentionné",Promoteur immobilier,False,0
True,Chaud,"Très intéressé par nos produits, demande un devis pour un chantier de 500m²",Responsable achats,True,1
False,Froid,"Pas de décision possible sans accord groupe, cycle très long",Responsable achats,True,1
True,Chaud,"Chantier prévu avril, budget ok, compare encore avec Saint-Gobain",Promoteur immobilier,False,0
False,Tiède,"Intéressé mais attend validation de son responsable, pas de date fixée",Promoteur immobilier,False,1
False,Tiède,"Intéressé mais trouve nos prix trop élevés, compare avec Knauf",Conducteur de travaux,False,1
False,Tiède,"Intéressé par le produit, mais son cycle d'achat est long",Architecte,False,0
False,Tiède,"Intéressé mais trouve nos prix trop élevés, compare avec Knauf",Architecte,False,1
False,Froid,"Pas de projet à court terme, juste en phase d'information",Architecte,True,0
False,Froid,Pas de décision avant le prochain comité de direction en mai,Chef d'agence négoce,True,0
True,Tiède,Pas de décision avant le prochain comité de direction en novembre,Responsable achats,False,0
True,Chaud,"Budget annuel disponible, cherche à référencer un nouveau fournisseur rapidement",Responsable achats,False,1
True,Chaud,"A évoqué Saint-Gobain comme référence, veut des arguments différenciants",Conducteur de travaux,False,1
True,Chaud,"Responsable très impliqué, veut avancer vite, budget confirmed",Chef d'agence négoce,False,1
True,Chaud,"Chantier de 200 logements en cours, cherche un fournisseur fiable rapidement",Conducteur de travaux,True,1
True,Chaud,"Marché conclu avec le client final, besoin de livrer en la semaine prochaine",Responsable achats,False,1
False,Tiède,"Knauf déjà présent sur ses chantiers, veut un avantage clair pour switcher",Chef d'agence négoce,True,1
True,Chaud,"Projet public validé, commande officielle attendue sous 2 semaines",Chef d'agence négoce,True,1
True,Chaud,"Pas de projet à court terme, juste en phase d'information",Chef d'agence négoce,False,0
True,Tiède,"Intéressé mais trouve nos prix trop élevés, compare avec Knauf",Architecte,False,0
True,Chaud,"Chantier en cours, satisfait de notre produit, commande complémentaire prévue",Promoteur immobilier,False,1
True,Tiède,"Curieux, pose de bonnes questions, mais pas encore en phase de décision",Responsable achats,False,0
True,Tiède,"Satisfait de son fournisseur actuel, pas de raison évidente de changer",Conducteur de travaux,True,1
False,Tiède,"Prix trop élevé selon lui, travaille déjà avec un concurrent satisfaisant",Conducteur de travaux,True,0
True,Chaud,"Besoin de taille standard pour chantier en octobre, demande de devis immédiat",Conducteur de travaux,True,1
False,Froid,Pas de chantier prévu avant 18 mois minimum,Responsable achats,True,0
True,Chaud,"A évoqué Saint-Gobain comme référence, veut des arguments différenciants",Conducteur de travaux,False,1
False,Tiède,"Bonne réunion, ouvert à une proposition, dépend du budget annuel",Architecte,True,1
False,Tiède,"A mentionné un projet pour le second semestre, pas de budget encore validé",Conducteur de travaux,False,1
False,Froid,"Pas de projet à court terme, juste en phase d'information",Architecte,True,0
False,Froid,"A posé des questions techniques, compare plusieurs fournisseurs, pas pressé",Responsable achats,False,0
False,Froid,"Réunion productive, a partagé les specs du projet mais rien de signé",Promoteur immobilier,True,0
False,Tiède,"Nouveau chantier démarré, besoin urgent de matériaux, budget OK",Chef d'agence négoce,False,1
False,Tiède,"Enthousiaste, a posé des questions très précises sur les délais de livraison",Promoteur immobilier,True,0
True,Froid,"A comparé avec Rockwool, leur offre est plus compétitive",Promoteur immobilier,True,0
False,Tiède,"Sensible au rapport qualité/prix, attend un geste commercial pour avancer",Conducteur de travaux,False,1
False,Chaud,"A posé des questions techniques, compare plusieurs fournisseurs, pas pressé",Responsable achats,True,0
False,Tiède,"Hésitant sur la qualité, a mentionné un problème passé avec un produit similaire",Promoteur immobilier,False,0
False,Tiède,"A demandé un rendez-vous de suivi dans 1 mois, pas de décision avant",Responsable achats,True,0
True,Tiède,"Client actif, référencement en cours, commande test validée",Chef d'agence négoce,False,1
False,Froid,Pas de chantier prévu avant 18 mois minimum,Architecte,True,0
False,Tiède,"Projet à confirmer, dépend d'un appel d'offres en cours",Chef d'agence négoce,True,0
False,Chaud,"Deadline fin du mois, project manager sur place, décision rapide attendue",Responsable achats,False,1
False,Tiède,"Projet 500m² confirmé, budget débloqué, veut démarrer rapidement",Promoteur immobilier,True,1
False,Froid,"Hésitant sur la qualité, a mentionné un problème passé avec un produit similaire",Architecte,True,0
False,Tiède,"Budget non validé par la direction, projet gelé indéfiniment",Responsable achats,True,0
False,Tiède,"Client actif, référencement en cours, commande test validée",Chef d'agence négoce,False,1
False,Froid,"Convoqué par son N+1, pas décideur, ne peut rien valider",Conducteur de travaux,False,0
False,Froid,"Prix trop élevé selon lui, travaille déjà avec un concurrent satisfaisant",Architecte,False,0
False,Tiède,"Intéressé mais attend validation de son responsable, pas de date fixée",Architecte,False,0
False,Froid,"Volume trop faible pour négocier, reste avec son fournisseur habituel",Responsable achats,False,0
True,Chaud,"Chantier imminent, a demandé les fiches techniques, budget débloqué",Conducteur de travaux,False,0
True,Tiède,"A déjà travaillé avec nos produits, satisfait, nouvelle commande à venir",Promoteur immobilier,True,1
False,Tiède,"Pas de budget prévu cette année, à relancer en Q3",Promoteur immobilier,True,1
False,Tiède,"Réunion informative, pas d'engagement, veut comparer les options",Responsable achats,False,0
True,Froid,"A déjà travaillé avec nos produits, satisfait, nouvelle commande à venir",Chef d'agence négoce,True,1
True,Chaud,"Projet confirmé pour Q1, budget validé en interne, très intéressé par nos produits",Conducteur de travaux,True,1
True,Chaud,"Client actif, référencement en cours, commande test validée",Chef d'agence négoce,False,1
False,Tiède,"A chiffré avec un concurrent 15% moins cher, demande alignement tarifaire",Chef d'agence négoce,True,1
False,Tiède,"Budget limité, cherche une alternative moins chère, à voir si on peut s'aligner",Chef d'agence négoce,False,0
False,Froid,"Réunion productive, a partagé les specs du projet mais rien de signé",Conducteur de travaux,True,0
True,Chaud,"Demande urgente de 500m², budget disponible, délai serré mais faisable",Conducteur de travaux,True,1
True,Tiède,"Curieux, pose de bonnes questions, mais pas encore en phase de décision",Promoteur immobilier,True,0
True,Chaud,"Chantier en cours, satisfait de notre produit, commande complémentaire prévue",Conducteur de travaux,False,1
False,Froid,"Partenaire potentiel, budget alloué, premier achat prévu ce trimestre",Promoteur immobilier,True,1
False,Froid,"Intéressé mais trouve nos prix trop élevés, compare avec Knauf",Promoteur immobilier,False,0
False,Froid,Pas de chantier prévu avant 18 mois minimum,Conducteur de travaux,True,1
True,Chaud,"Marché conclu avec le client final, besoin de livrer en fin du mois",Responsable achats,True,1
False,Tiède,"Hésitant sur la qualité, a mentionné un problème passé avec un produit similaire",Chef d'agence négoce,False,0
False,Froid,"Réunion téléphonique expéditive, à peine 15 minutes, pas de signal positif",Responsable achats,False,0
False,Tiède,"Projet en cours de chiffrage, reviendra vers nous dans 2-3 mois",Conducteur de travaux,True,0
False,Tiède,"Intéressé mais le timing ne convient pas, reviendra peut-être plus tard",Responsable achats,True,0
False,Chaud,"Budget signé, commande probable d'ici 3 semaines, très motivé",Architecte,True,0
False,Tiède,"Sous contrat cadre avec un concurrent, difficile de rentrer à court terme",Conducteur de travaux,True,0
False,Tiède,"Skeptique sur la performance, veut voir des résultats de tests d'abord",Architecte,True,0
False,Froid,"Mauvaise expérience avec une marque similaire, méfiant envers le secteur",Conducteur de travaux,False,1
True,Chaud,"Référencement en cours, premier chantier prévu en septembre, volume un lot complet",Responsable achats,True,1
False,Froid,"Budget limité, cherche une alternative moins chère, à voir si on peut s'aligner",Promoteur immobilier,False,0
True,Froid,"Pas sensible à nos arguments, resté sur ses positions tout au long de l'entretien",Responsable achats,True,0
False,Tiède,"Chantier annulé, plus de besoin pour le moment",Responsable achats,False,0
True,Chaud,"Travaille déjà avec Knauf, fidèle mais ouvert à tester sur un petit chantier",Promoteur immobilier,True,0
False,Froid,"Pas de projet signé, en phase de prospection pour lui-même",Responsable achats,True,0
False,Tiède,"Travaille déjà avec Isover, fidèle mais ouvert à tester sur un petit chantier",Promoteur immobilier,True,1
